Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1981,1,1,1,2,1,1,2,6,1,4.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
1982,1,1,2,3,4,1,2,1,1,6.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
1983,3,17,1,14,5,2,2,2,6,2.0,2.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
1984,1,8,1,2,18,1,2,1,1,5.0,38.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
1985,4,1,1,1,2,1,2,2,1,1.0,10.0,3.0,2.0,3.0,9.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,
1986,2,7,3,1,2,6,11,10,3,1.0,12.0,3.0,1.0,4.0,1.0,,,,,,,,,,,,,,,
1987,10,5,5,3,1,1,3,8,6,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
1988,1,3,6,1,3,6,1,6,1,1.0,1.0,1.0,10.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,,
1989,2,1,2,3,2,3,6,7,11,2.0,,,,,,,,,,,,,,,,,,,,
1990,1,1,3,1,5,1,15,2,2,16.0,5.0,7.0,2.0,4.0,,,,,,,,,,,,,,,,
1991,4,1,1,10,1,1,1,13,29,13.0,3.0,,,,,,,,,,,,,,,,,,,
1992,1,2,2,18,18,2,1,2,22,1.0,7.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
1993,2,1,5,4,15,7,4,3,1,1.0,6.0,1.0,7.0,2.0,1.0,1.0,,,,,,,,,,,,,,
1994,1,2,1,22,9,6,1,1,1,4.0,,,,,,,,,,,,,,,,,,,,
1995,1,7,5,2,2,6,11,19,6,17.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1996,3,1,4,2,10,17,3,28,23,5.0,4.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,
1997,1,3,1,1,1,5,37,9,9,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
1998,5,3,5,1,2,1,12,1,1,1.0,8.0,5.0,20.0,6.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,
1999,1,2,2,21,2,1,1,2,2,13.0,4.0,4.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
2000,1,1,4,1,20,2,14,4,3,2.0,1.0,7.0,13.0,4.0,3.0,12.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,
