Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1981,1,1,1,15,2,6,4,2.0,1.0,2.0,5.0,2.0,6.0,1.0,9.0,3.0,4.0,5.0,1.0,1.0,,,,,,
1982,1,5,4,6,26,4,4,3.0,1.0,7.0,4.0,1.0,,,,,,,,,,,,,,
1983,1,3,3,1,3,1,1,7.0,1.0,1.0,2.0,6.0,5.0,2.0,7.0,7.0,2.0,1.0,,,,,,,,
1984,2,1,3,14,5,3,1,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,
1985,1,1,1,1,3,5,9,3.0,23.0,5.0,3.0,2.0,2.0,3.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,
1986,2,7,3,1,2,6,11,10.0,3.0,1.0,12.0,3.0,1.0,4.0,1.0,,,,,,,,,,,
1987,1,2,8,3,1,2,2,7.0,4.0,8.0,1.0,2.0,1.0,1.0,7.0,1.0,11.0,2.0,2.0,,,,,,,
1988,1,2,8,3,3,11,1,3.0,2.0,1.0,13.0,2.0,13.0,1.0,3.0,4.0,7.0,2.0,,,,,,,,
1989,4,3,6,2,31,2,12,2.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,
1990,1,1,1,1,3,2,2,1.0,7.0,27.0,12.0,2.0,1.0,3.0,2.0,,,,,,,,,,,
1991,3,11,3,1,1,19,7,2.0,12.0,1.0,4.0,5.0,1.0,2.0,5.0,3.0,,,,,,,,,,
1992,3,2,1,1,11,2,5,4.0,4.0,1.0,3.0,2.0,6.0,1.0,4.0,2.0,2.0,1.0,9.0,3.0,,,,,,
1993,3,6,4,4,3,30,2,10.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,,,,,,,,,,,
1994,4,3,13,1,1,5,4,1.0,1.0,1.0,1.0,6.0,6.0,1.0,15.0,1.0,2.0,1.0,8.0,1.0,2.0,,,,,
1995,4,1,8,2,1,3,4,5.0,10.0,7.0,12.0,10.0,1.0,2.0,6.0,1.0,,,,,,,,,,
1996,1,1,7,5,36,1,4,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,
1997,2,7,2,1,3,7,6,3.0,36.0,4.0,1.0,3.0,,,,,,,,,,,,,,
1998,1,5,1,1,9,29,1,9.0,12.0,3.0,1.0,1.0,,,,,,,,,,,,,,
1999,1,3,7,2,1,4,1,12.0,16.0,7.0,1.0,1.0,10.0,9.0,1.0,1.0,,,,,,,,,,
2000,2,3,2,2,2,22,2,13.0,4.0,2.0,8.0,4.0,2.0,1.0,2.0,3.0,5.0,,,,,,,,,
2001,1,1,1,3,2,4,8,1.0,2.0,9.0,8.0,2.0,2.0,1.0,10.0,2.0,8.0,,,,,,,,,
2002,1,1,2,5,10,10,1,1.0,1.0,6.0,2.0,7.0,6.0,4.0,2.0,1.0,,,,,,,,,,
2003,1,4,4,2,5,3,5,4.0,8.0,3.0,2.0,6.0,2.0,1.0,1.0,4.0,2.0,1.0,,,,,,,,
2004,1,2,1,21,2,13,2,1.0,1.0,5.0,1.0,2.0,2.0,,,,,,,,,,,,,
2005,1,1,1,4,6,3,4,17.0,24.0,4.0,1.0,21.0,3.0,2.0,4.0,1.0,1.0,5.0,,,,,,,,
2006,1,1,1,1,3,2,1,3.0,2.0,3.0,2.0,7.0,11.0,6.0,3.0,5.0,4.0,1.0,2.0,2.0,5.0,2.0,,,,
2007,5,1,5,1,19,1,1,3.0,3.0,4.0,2.0,2.0,,,,,,,,,,,,,,
2008,1,2,5,9,6,1,2,2.0,2.0,2.0,14.0,6.0,2.0,2.0,14.0,3.0,,,,,,,,,,
2009,2,6,13,4,4,5,2,4.0,1.0,3.0,3.0,2.0,11.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,
2010,2,11,6,8,3,3,9,23.0,4.0,3.0,3.0,4.0,1.0,1.0,10.0,,,,,,,,,,,
2011,1,2,6,3,6,1,1,21.0,9.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
2012,1,4,4,8,5,5,4,2.0,2.0,13.0,3.0,7.0,13.0,1.0,1.0,1.0,,,,,,,,,,
2013,2,1,2,1,2,19,62,8.0,4.0,,,,,,,,,,,,,,,,,
2014,2,3,1,5,7,1,5,10.0,3.0,1.0,14.0,10.0,3.0,2.0,1.0,3.0,1.0,,,,,,,,,
2015,1,1,3,9,1,3,2,2.0,2.0,6.0,49.0,11.0,3.0,,,,,,,,,,,,,
2016,1,6,7,1,1,1,1,4.0,13.0,11.0,2.0,4.0,3.0,3.0,1.0,5.0,3.0,,,,,,,,,
2017,1,3,3,4,3,5,8,1.0,3.0,3.0,1.0,7.0,6.0,5.0,3.0,5.0,1.0,4.0,,,,,,,,
2018,1,1,2,1,1,2,3,3.0,10.0,9.0,3.0,20.0,7.0,4.0,1.0,,,,,,,,,,,
2019,1,3,2,6,2,1,19,1.0,24.0,5.0,23.0,7.0,,,,,,,,,,,,,,
2020,1,2,22,3,7,29,3,1.0,2.0,2.0,4.0,1.0,,,,,,,,,,,,,,
2021,2,1,1,1,3,1,2,1.0,10.0,5.0,4.0,14.0,10.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,
2022,2,3,46,4,10,12,15,2.0,2.0,1.0,,,,,,,,,,,,,,,,
2023,2,11,1,13,2,1,54,2.0,7.0,3.0,3.0,1.0,,,,,,,,,,,,,,
