Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1981,1,1,1,13,13,2,2,1,1.0,1.0,4.0,9.0,8.0,8.0,2.0,1.0,1.0,1.0,,,,,,,,,
1982,2,3,12,5,2,1,2,12,4.0,1.0,2.0,5.0,1.0,2.0,3.0,4.0,2.0,2.0,6.0,4.0,13.0,2.0,2.0,1.0,,,
1983,1,2,2,1,2,1,3,2,7.0,4.0,1.0,17.0,5.0,6.0,10.0,2.0,1.0,,,,,,,,,,
1984,1,1,2,1,1,4,6,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,16.0,1.0,1.0,1.0,5.0,,,,,
1985,1,1,6,1,23,5,9,2,8.0,3.0,4.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,
1986,1,1,1,3,7,4,5,5,2.0,11.0,3.0,2.0,17.0,13.0,2.0,4.0,3.0,4.0,3.0,1.0,,,,,,,
1987,3,2,10,6,1,4,24,7,1.0,1.0,8.0,1.0,2.0,,,,,,,,,,,,,,
1988,1,5,1,1,6,1,3,15,5.0,7.0,7.0,4.0,21.0,2.0,3.0,,,,,,,,,,,,
1989,1,1,5,1,8,3,4,14,30.0,1.0,1.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,
1990,2,1,2,5,2,3,10,22,2.0,10.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,
1991,6,5,16,1,2,1,1,4,1.0,16.0,11.0,7.0,4.0,4.0,1.0,10.0,,,,,,,,,,,
1992,1,19,5,2,10,3,4,7,9.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,
1993,1,1,4,5,3,1,3,5,5.0,2.0,4.0,3.0,2.0,4.0,1.0,1.0,7.0,17.0,,,,,,,,,
1994,8,1,3,1,7,7,6,4,2.0,3.0,1.0,10.0,2.0,6.0,16.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,,,,
1995,19,2,7,12,14,5,3,10,2.0,1.0,,,,,,,,,,,,,,,,,
1996,1,1,1,2,1,1,13,24,3.0,10.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
1997,1,5,4,11,10,3,1,2,1.0,1.0,1.0,2.0,4.0,6.0,1.0,2.0,3.0,3.0,1.0,2.0,,,,,,,
1998,4,2,4,2,6,1,4,1,1.0,10.0,10.0,10.0,9.0,,,,,,,,,,,,,,
1999,7,2,5,4,32,2,12,5,3.0,4.0,1.0,,,,,,,,,,,,,,,,
2000,1,3,1,4,3,2,4,3,3.0,2.0,42.0,2.0,3.0,16.0,3.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,,,,,
2001,1,1,1,1,16,8,5,1,1.0,4.0,1.0,1.0,2.0,3.0,2.0,5.0,9.0,3.0,1.0,5.0,1.0,1.0,,,,,
2002,3,1,4,4,2,2,1,1,32.0,4.0,1.0,19.0,1.0,,,,,,,,,,,,,,
2003,1,12,1,3,10,3,25,5,2.0,10.0,1.0,12.0,7.0,1.0,2.0,1.0,,,,,,,,,,,
2004,1,8,2,2,1,4,21,11,38.0,6.0,1.0,6.0,3.0,,,,,,,,,,,,,,
2005,2,1,17,3,12,4,13,18,3.0,1.0,10.0,6.0,1.0,5.0,,,,,,,,,,,,,
2006,1,1,1,2,1,3,7,2,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,8.0,1.0,3.0,2.0,2.0,,,,,,
2007,1,1,1,8,1,22,39,2,2.0,5.0,2.0,1.0,,,,,,,,,,,,,,,
2008,5,18,2,6,9,1,1,2,15.0,13.0,18.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
2009,3,8,7,6,1,1,5,10,6.0,4.0,7.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,
2010,1,4,1,3,3,22,1,4,9.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,,,
2011,1,11,12,4,2,2,7,26,16.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
2012,4,3,2,1,7,4,4,2,1.0,7.0,14.0,4.0,8.0,5.0,2.0,7.0,1.0,,,,,,,,,,
2013,2,1,2,1,1,2,32,3,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
2014,1,1,1,8,1,2,19,1,1.0,2.0,1.0,2.0,8.0,12.0,11.0,5.0,3.0,2.0,1.0,6.0,,,,,,,
2015,3,1,2,2,3,25,4,9,5.0,29.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
2016,1,3,1,8,60,1,2,1,7.0,1.0,,,,,,,,,,,,,,,,,
2017,1,2,7,1,2,3,10,30,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,
2018,24,2,22,2,2,24,2,9,6.0,4.0,1.0,2.0,,,,,,,,,,,,,,,
2019,1,4,18,7,1,1,3,1,5.0,1.0,52.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,
2020,1,2,2,2,40,55,2,4,3.0,4.0,2.0,8.0,,,,,,,,,,,,,,,
2021,1,1,1,1,12,1,3,5,13.0,9.0,18.0,2.0,3.0,1.0,1.0,6.0,1.0,2.0,,,,,,,,,
2022,3,1,3,1,3,13,2,3,2.0,7.0,1.0,5.0,3.0,1.0,10.0,1.0,,,,,,,,,,,
2023,1,2,1,12,3,1,7,19,3.0,3.0,4.0,7.0,1.0,2.0,5.0,1.0,,,,,,,,,,,
2024,7,1,4,10,11,1,21,3,4.0,27.0,2.0,2.0,10.0,2.0,1.0,2.0,,,,,,,,,,,
2025,1,11,7,1,8,1,1,4,8.0,14.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,,,,,,,,,
2026,1,9,5,4,57,8,8,2,2.0,1.0,,,,,,,,,,,,,,,,,
2027,3,1,1,1,5,12,26,14,2.0,1.0,5.0,4.0,1.0,1.0,,,,,,,,,,,,,
2028,1,1,1,1,1,2,1,15,2.0,1.0,11.0,5.0,2.0,3.0,3.0,6.0,1.0,1.0,,,,,,,,,
2029,2,1,1,3,9,8,36,1,1.0,6.0,1.0,5.0,4.0,1.0,1.0,1.0,,,,,,,,,,,
2030,1,2,2,1,2,1,6,10,17.0,6.0,4.0,2.0,4.0,6.0,2.0,,,,,,,,,,,,
2031,1,3,10,1,10,7,29,2,19.0,1.0,4.0,2.0,5.0,2.0,1.0,,,,,,,,,,,,
2032,1,1,1,1,6,2,1,2,1.0,6.0,8.0,3.0,1.0,4.0,8.0,3.0,2.0,7.0,1.0,2.0,1.0,2.0,10.0,1.0,,,
2033,3,4,3,1,3,9,30,3,1.0,21.0,16.0,2.0,3.0,2.0,5.0,1.0,,,,,,,,,,,
2034,1,1,2,8,6,2,6,5,26.0,18.0,21.0,2.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,,,,,,,,
2035,4,1,2,2,3,1,10,13,28.0,12.0,7.0,3.0,1.0,4.0,,,,,,,,,,,,,
2036,1,1,9,2,7,3,8,1,1.0,2.0,59.0,3.0,1.0,4.0,,,,,,,,,,,,,
2037,1,11,13,21,5,1,1,1,4.0,3.0,1.0,3.0,5.0,,,,,,,,,,,,,,
2038,2,3,3,1,1,42,1,29,2.0,4.0,7.0,5.0,2.0,1.0,,,,,,,,,,,,,
2039,2,1,1,1,1,23,12,19,3.0,2.0,5.0,4.0,6.0,1.0,,,,,,,,,,,,,
2040,1,2,1,6,2,2,14,1,1.0,56.0,1.0,2.0,,,,,,,,,,,,,,,
2041,1,1,10,1,17,1,7,58,5.0,1.0,4.0,,,,,,,,,,,,,,,,
2042,2,1,4,2,1,11,4,1,2.0,5.0,2.0,14.0,3.0,5.0,1.0,3.0,6.0,1.0,2.0,,,,,,,,
2043,1,3,1,1,1,4,14,5,1.0,20.0,36.0,2.0,28.0,1.0,,,,,,,,,,,,,
2044,2,2,2,2,1,5,5,10,1.0,3.0,1.0,16.0,3.0,7.0,15.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,10.0,2.0,1.0,2.0
