Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1981,1,2,1,12,12,2,3,1.0,3.0,4.0,4.0,16.0,3.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,
1982,1,2,8,3,18,8,25,8.0,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,
1983,1,4,2,2,1,2,2,1.0,5.0,20.0,1.0,4.0,6.0,1.0,2.0,4.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,,,,,,
1984,7,1,5,12,3,3,1,1.0,2.0,2.0,5.0,1.0,1.0,1.0,14.0,1.0,5.0,,,,,,,,,,,,
1985,1,2,5,6,1,8,4,20.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,,,,,
1986,2,5,2,1,2,1,3,4.0,1.0,5.0,9.0,1.0,2.0,5.0,8.0,14.0,1.0,1.0,5.0,,,,,,,,,,
1987,2,4,1,3,20,7,44,1.0,1.0,2.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
1988,4,2,15,2,8,9,23,8.0,8.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1989,2,1,1,4,2,2,24,34.0,2.0,9.0,4.0,,,,,,,,,,,,,,,,,,
1990,5,12,3,1,5,9,2,3.0,5.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,,,,,,,
1991,1,1,1,31,3,1,3,2.0,10.0,1.0,6.0,1.0,7.0,5.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
1992,2,2,1,2,18,19,2,1.0,5.0,4.0,23.0,1.0,7.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,
1993,1,2,1,1,2,1,3,7.0,3.0,16.0,4.0,2.0,2.0,3.0,34.0,9.0,17.0,4.0,3.0,1.0,,,,,,,,,
1994,3,2,1,3,3,1,25,10.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
1995,1,1,1,9,8,2,7,1.0,11.0,10.0,1.0,4.0,2.0,1.0,1.0,8.0,2.0,1.0,,,,,,,,,,,
1996,1,1,1,14,11,9,9,4.0,2.0,3.0,2.0,3.0,3.0,1.0,5.0,1.0,,,,,,,,,,,,,
1997,2,2,1,1,23,1,1,1.0,4.0,8.0,9.0,7.0,7.0,1.0,8.0,2.0,1.0,,,,,,,,,,,,
1998,1,5,5,14,1,1,14,35.0,6.0,20.0,1.0,10.0,1.0,,,,,,,,,,,,,,,,
1999,8,4,3,13,1,2,4,2.0,8.0,12.0,4.0,1.0,10.0,3.0,4.0,1.0,1.0,3.0,3.0,,,,,,,,,,
2000,2,3,1,2,4,1,1,3.0,2.0,13.0,4.0,2.0,2.0,15.0,1.0,9.0,1.0,4.0,2.0,7.0,6.0,10.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0
2001,1,1,1,1,16,8,5,1.0,1.0,4.0,1.0,3.0,3.0,2.0,5.0,9.0,3.0,1.0,5.0,1.0,1.0,,,,,,,,
2002,1,1,3,4,2,1,2,2.0,1.0,10.0,9.0,5.0,3.0,5.0,1.0,6.0,10.0,4.0,,,,,,,,,,,
2003,1,12,1,3,10,3,25,5.0,2.0,5.0,4.0,1.0,4.0,7.0,4.0,2.0,1.0,2.0,1.0,,,,,,,,,,
2004,1,1,13,11,1,30,15,5.0,22.0,4.0,1.0,1.0,3.0,6.0,,,,,,,,,,,,,,,
2005,2,1,2,13,3,18,2,1.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,
2006,2,5,2,1,4,1,1,9.0,6.0,19.0,23.0,11.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,
2007,1,1,1,1,2,1,2,3.0,1.0,2.0,5.0,10.0,13.0,7.0,13.0,5.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,
2008,8,4,1,10,4,11,2,3.0,11.0,6.0,6.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,
2009,1,2,2,4,3,10,1,2.0,2.0,6.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,5.0,3.0,3.0,5.0,4.0,1.0,,,,,,
2010,1,1,16,11,5,10,1,3.0,21.0,7.0,6.0,3.0,1.0,1.0,1.0,11.0,,,,,,,,,,,,,
2011,2,2,12,5,1,6,1,1.0,11.0,1.0,2.0,7.0,2.0,1.0,9.0,5.0,1.0,8.0,3.0,4.0,4.0,,,,,,,,
2012,1,2,1,1,2,1,2,6.0,3.0,2.0,1.0,1.0,2.0,27.0,2.0,3.0,8.0,4.0,1.0,4.0,,,,,,,,,
2013,1,1,1,13,9,7,11,4.0,1.0,2.0,15.0,1.0,1.0,3.0,8.0,1.0,1.0,,,,,,,,,,,,
2014,1,2,1,1,5,2,1,36.0,2.0,1.0,2.0,4.0,31.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,
2015,1,1,4,2,1,2,1,4.0,7.0,3.0,25.0,4.0,18.0,16.0,1.0,,,,,,,,,,,,,,
2016,1,1,1,3,2,3,1,2.0,14.0,13.0,3.0,36.0,4.0,2.0,1.0,6.0,1.0,,,,,,,,,,,,
2017,2,9,3,1,2,2,17,1.0,3.0,3.0,1.0,4.0,8.0,8.0,21.0,11.0,3.0,2.0,,,,,,,,,,,
2018,1,2,1,2,2,1,2,1.0,51.0,30.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2019,3,1,1,1,1,11,1,2.0,8.0,5.0,30.0,16.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,
2020,1,1,6,2,2,1,2,2.0,13.0,8.0,1.0,9.0,9.0,5.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,
2021,2,1,3,5,1,4,1,3.0,4.0,10.0,5.0,1.0,4.0,19.0,4.0,1.0,1.0,3.0,1.0,12.0,1.0,5.0,1.0,,,,,,
2022,1,2,1,4,1,5,2,8.0,1.0,10.0,2.0,2.0,10.0,1.0,,,,,,,,,,,,,,,
2023,1,2,1,3,2,1,3,17.0,4.0,2.0,9.0,1.0,5.0,3.0,2.0,3.0,6.0,,,,,,,,,,,,
2024,2,1,4,1,12,1,11,8.0,21.0,8.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
2025,3,1,5,11,1,9,1,1.0,15.0,42.0,4.0,7.0,12.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,
2026,2,6,5,1,4,6,4,2.0,2.0,1.0,14.0,1.0,9.0,4.0,2.0,4.0,2.0,2.0,1.0,,,,,,,,,,
2027,2,1,1,1,3,8,1,15.0,11.0,1.0,10.0,6.0,11.0,7.0,9.0,1.0,,,,,,,,,,,,,
2028,1,3,1,6,10,1,11,2.0,16.0,6.0,3.0,4.0,8.0,1.0,1.0,1.0,5.0,2.0,3.0,,,,,,,,,,
2029,1,1,1,4,1,3,15,22.0,3.0,7.0,7.0,5.0,2.0,1.0,,,,,,,,,,,,,,,
2030,1,1,1,1,1,1,2,3.0,1.0,1.0,8.0,3.0,5.0,25.0,23.0,8.0,2.0,1.0,4.0,2.0,2.0,,,,,,,,
2031,1,1,4,2,1,1,2,2.0,14.0,12.0,35.0,1.0,2.0,7.0,1.0,4.0,6.0,,,,,,,,,,,,
2032,1,1,1,10,2,1,13,12.0,1.0,2.0,3.0,3.0,2.0,10.0,13.0,2.0,7.0,,,,,,,,,,,,
2033,1,1,5,1,5,2,3,8.0,19.0,1.0,10.0,12.0,7.0,2.0,3.0,12.0,6.0,1.0,2.0,,,,,,,,,,
2034,1,1,2,7,7,22,9,3.0,2.0,1.0,11.0,36.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,
2035,1,9,5,1,2,21,15,38.0,3.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,
2036,1,10,1,3,5,6,4,3.0,3.0,3.0,10.0,6.0,5.0,13.0,8.0,3.0,2.0,5.0,,,,,,,,,,,
2037,1,1,1,1,1,4,7,1.0,2.0,12.0,5.0,16.0,24.0,5.0,7.0,,,,,,,,,,,,,,
2038,1,2,4,1,1,1,3,5.0,10.0,2.0,34.0,4.0,8.0,3.0,,,,,,,,,,,,,,,
2039,2,3,1,1,2,3,1,1.0,8.0,1.0,2.0,7.0,24.0,5.0,3.0,28.0,6.0,1.0,1.0,2.0,1.0,,,,,,,,
2040,3,8,7,2,1,2,9,24.0,7.0,29.0,1.0,2.0,14.0,9.0,,,,,,,,,,,,,,,
2041,4,3,15,14,39,27,21,,,,,,,,,,,,,,,,,,,,,,
2042,3,5,3,4,1,3,3,3.0,4.0,1.0,46.0,12.0,5.0,4.0,1.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,
2043,1,1,14,1,1,1,8,2.0,2.0,2.0,1.0,4.0,1.0,8.0,14.0,1.0,10.0,2.0,2.0,7.0,1.0,1.0,,,,,,,
2044,2,4,8,3,8,6,66,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
2045,1,1,2,1,1,5,48,2.0,39.0,3.0,8.0,3.0,,,,,,,,,,,,,,,,,
2046,2,1,1,6,1,6,10,2.0,11.0,1.0,19.0,3.0,4.0,3.0,3.0,5.0,4.0,1.0,2.0,2.0,2.0,,,,,,,,
2047,2,4,20,42,4,12,2,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2048,1,1,1,1,4,65,24,1.0,1.0,20.0,3.0,,,,,,,,,,,,,,,,,,
