Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1981,1,1,1,2,2,1,1,2,8,6.0,3.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1982,1,2,1,2,3,4,1,2,2,1.0,7.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,
1983,1,1,8,3,2,1,2,3,6,4.0,8.0,2.0,1.0,4.0,3.0,2.0,,,,,,,,,,,,,,,
1984,1,5,4,1,1,2,1,2,1,1.0,2.0,9.0,1.0,2.0,3.0,3.0,10.0,2.0,1.0,6.0,,,,,,,,,,,
1985,1,2,3,1,1,3,8,13,3,29.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
1986,1,1,27,4,4,19,6,18,1,1.0,3.0,12.0,1.0,,,,,,,,,,,,,,,,,,
1987,1,3,9,3,1,2,2,7,13,2.0,5.0,1.0,1.0,7.0,1.0,11.0,2.0,2.0,,,,,,,,,,,,,
1988,1,3,1,10,6,17,2,3,23,5.0,2.0,1.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1989,2,1,2,1,3,21,34,3,1,12.0,1.0,,,,,,,,,,,,,,,,,,,,
1990,2,1,1,3,1,1,2,5,1,1.0,18.0,2.0,17.0,5.0,7.0,2.0,4.0,,,,,,,,,,,,,,
1991,1,1,1,2,1,3,20,1,2,43.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,
1992,6,1,8,3,2,7,9,32,4,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
1993,1,4,2,15,43,10,1,10,3,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
1994,3,1,1,1,1,5,1,12,9,5.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,
1995,10,10,1,7,6,20,9,3,1,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
