Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1981,1,2,9,12,2,1,1,3.0,4.0,1.0,2.0,4.0,1.0,9.0,1.0,3.0,2.0,2.0,,,,,,,
1982,2,7,2,17,8,18,3,8.0,1.0,2.0,5.0,,,,,,,,,,,,,,
1983,1,4,2,2,2,2,1,5.0,15.0,4.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,,,,
1984,5,1,4,11,3,3,1,1.0,1.0,5.0,1.0,1.0,1.0,13.0,1.0,4.0,,,,,,,,,
1985,2,4,6,7,4,17,2,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,,
1986,2,5,2,1,2,1,3,4.0,1.0,4.0,9.0,1.0,2.0,4.0,8.0,14.0,1.0,4.0,,,,,,,
1987,4,1,18,1,6,43,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
1988,4,2,15,2,4,2,6,2.0,3.0,18.0,8.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,
1989,1,1,3,2,1,24,25,8.0,1.0,9.0,1.0,1.0,,,,,,,,,,,,,
1990,3,1,11,3,1,5,8,3.0,4.0,6.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,
1991,1,1,26,3,3,3,10,1.0,6.0,1.0,6.0,4.0,1.0,1.0,,,,,,,,,,,
1992,1,2,2,18,19,2,1,3.0,22.0,1.0,7.0,2.0,1.0,1.0,2.0,,,,,,,,,,
1993,1,2,1,2,1,3,7,3.0,15.0,3.0,2.0,2.0,3.0,1.0,18.0,12.0,1.0,5.0,17.0,4.0,1.0,1.0,,,
1994,3,1,1,3,2,1,24,10.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
1995,5,3,8,2,7,1,11,1.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,8.0,1.0,,,,,,,,
