Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1981,2,2,2,2,2,3,1.0,4.0,3.0,4.0,6.0,4.0,1.0,4.0,1.0,10.0,6.0,2.0,6.0,,,,,,,
1982,1,1,6,6,8,33,4.0,3.0,17.0,1.0,4.0,1.0,1.0,3.0,1.0,,,,,,,,,,,
1983,1,2,3,2,1,6,26.0,1.0,2.0,1.0,2.0,3.0,5.0,5.0,,,,,,,,,,,,
1984,1,1,1,1,1,3,6.0,17.0,2.0,9.0,8.0,2.0,6.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,,,,,,
1985,2,2,1,5,1,21,1.0,5.0,2.0,2.0,1.0,1.0,12.0,5.0,2.0,,,,,,,,,,,
1986,1,29,23,6,20,1,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
1987,3,5,1,2,2,6,32.0,2.0,5.0,5.0,14.0,1.0,,,,,,,,,,,,,,
1988,4,2,1,1,1,8,1.0,10.0,4.0,1.0,2.0,6.0,24.0,19.0,4.0,,,,,,,,,,,
1989,1,2,9,7,2,2,1.0,7.0,1.0,11.0,1.0,2.0,7.0,2.0,,,,,,,,,,,,
1990,2,4,1,7,7,1,29.0,3.0,33.0,11.0,5.0,1.0,,,,,,,,,,,,,,
1991,7,5,2,13,11,1,10.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
1992,5,2,12,3,3,7,5.0,32.0,4.0,2.0,5.0,,,,,,,,,,,,,,,
1993,5,2,15,43,10,1,10.0,3.0,6.0,1.0,1.0,,,,,,,,,,,,,,,
1994,1,1,6,1,4,20,1.0,7.0,18.0,5.0,1.0,2.0,3.0,,,,,,,,,,,,,
1995,1,4,4,1,6,1,4.0,1.0,19.0,6.0,13.0,9.0,6.0,3.0,2.0,1.0,1.0,,,,,,,,,
1996,3,3,4,1,1,24,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,,,,,,,
1997,3,3,1,7,18,7,31.0,7.0,2.0,,,,,,,,,,,,,,,,,
1998,8,1,29,4,1,13,9.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,
1999,9,1,3,26,2,1,2.0,11.0,4.0,7.0,2.0,1.0,2.0,,,,,,,,,,,,,
2000,2,10,2,6,1,9,14.0,6.0,5.0,8.0,2.0,3.0,1.0,1.0,1.0,2.0,9.0,,,,,,,,,
2001,2,3,2,1,7,5,14.0,1.0,2.0,2.0,7.0,1.0,9.0,5.0,1.0,2.0,1.0,6.0,4.0,3.0,8.0,3.0,,,,
2002,2,1,1,5,69,5,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,
2003,3,2,4,1,4,3,3.0,2.0,5.0,39.0,2.0,2.0,2.0,1.0,7.0,2.0,,,,,,,,,,
2004,3,3,3,18,2,1,4.0,8.0,5.0,2.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,
2005,2,4,16,17,23,6,4.0,4.0,1.0,1.0,6.0,,,,,,,,,,,,,,,
2006,1,1,1,5,9,3,35.0,3.0,3.0,15.0,1.0,9.0,10.0,8.0,2.0,,,,,,,,,,,
2007,1,2,1,3,8,3,1.0,13.0,2.0,3.0,2.0,5.0,8.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,,,,
2008,1,2,2,4,1,1,2.0,1.0,3.0,5.0,1.0,4.0,5.0,1.0,5.0,2.0,7.0,,,,,,,,,
2009,1,1,1,4,4,1,1.0,11.0,1.0,8.0,14.0,1.0,2.0,2.0,5.0,4.0,14.0,1.0,2.0,1.0,,,,,,
2010,1,1,4,1,3,2,21.0,5.0,25.0,12.0,1.0,1.0,2.0,13.0,2.0,3.0,1.0,3.0,,,,,,,,
2011,2,2,5,2,5,20,2.0,19.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,
2012,1,2,9,1,8,21,1.0,5.0,6.0,3.0,4.0,1.0,4.0,1.0,,,,,,,,,,,,
2013,7,1,2,5,6,1,5.0,9.0,2.0,40.0,1.0,1.0,,,,,,,,,,,,,,
2014,1,13,5,4,19,47,2.0,10.0,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,
2015,1,1,2,1,3,1,10.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,5.0,10.0,1.0,,,,,,,,,
2016,2,1,1,1,3,2,2.0,10.0,1.0,5.0,2.0,1.0,2.0,12.0,4.0,2.0,13.0,3.0,4.0,1.0,1.0,1.0,7.0,2.0,1.0,
2017,3,9,17,6,22,4,17.0,5.0,6.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,
2018,3,5,4,5,1,1,2.0,2.0,8.0,10.0,1.0,5.0,17.0,4.0,1.0,3.0,11.0,6.0,,,,,,,,
2019,13,7,15,17,1,12,2.0,2.0,4.0,10.0,1.0,,,,,,,,,,,,,,,
2020,1,1,1,3,6,2,17.0,20.0,1.0,27.0,2.0,1.0,3.0,14.0,1.0,,,,,,,,,,,
2021,2,8,1,8,1,17,2.0,11.0,2.0,8.0,3.0,1.0,1.0,1.0,2.0,5.0,5.0,,,,,,,,,
2022,1,1,12,1,1,26,5.0,2.0,1.0,2.0,14.0,8.0,6.0,8.0,1.0,2.0,,,,,,,,,,
2023,2,4,3,2,3,1,2.0,1.0,1.0,2.0,10.0,15.0,8.0,25.0,1.0,2.0,2.0,8.0,1.0,1.0,1.0,,,,,
2024,2,4,2,1,2,12,1.0,6.0,9.0,8.0,10.0,2.0,25.0,8.0,3.0,,,,,,,,,,,
2025,6,2,2,27,2,6,1.0,15.0,7.0,6.0,3.0,4.0,2.0,3.0,6.0,3.0,2.0,1.0,1.0,1.0,,,,,,
2026,1,12,1,12,5,2,2.0,2.0,1.0,2.0,1.0,14.0,2.0,34.0,8.0,4.0,3.0,,,,,,,,,
2027,1,14,12,16,31,3,2.0,1.0,7.0,9.0,3.0,,,,,,,,,,,,,,,
2028,1,1,6,4,1,10,1.0,18.0,2.0,33.0,2.0,3.0,4.0,3.0,3.0,4.0,,,,,,,,,,
2029,12,2,1,5,1,12,40.0,1.0,2.0,7.0,2.0,,,,,,,,,,,,,,,
2030,6,1,4,14,1,17,7.0,1.0,2.0,13.0,2.0,8.0,17.0,5.0,2.0,,,,,,,,,,,
2031,1,6,4,27,5,4,16.0,3.0,19.0,1.0,,,,,,,,,,,,,,,,
2032,3,2,1,1,1,4,5.0,4.0,9.0,1.0,2.0,9.0,5.0,30.0,2.0,2.0,1.0,1.0,1.0,,,,,,,
2033,3,1,2,13,7,1,90.0,5.0,3.0,3.0,,,,,,,,,,,,,,,,
2034,2,1,16,2,6,12,15.0,8.0,13.0,2.0,3.0,1.0,6.0,2.0,2.0,5.0,,,,,,,,,,
2035,1,3,7,20,2,6,4.0,48.0,1.0,,,,,,,,,,,,,,,,,
2036,1,1,1,1,1,3,12.0,23.0,3.0,18.0,2.0,1.0,,,,,,,,,,,,,,
2037,5,1,6,1,4,1,4.0,6.0,6.0,12.0,30.0,6.0,3.0,16.0,3.0,,,,,,,,,,,
2038,5,2,2,1,1,1,1.0,2.0,37.0,9.0,13.0,2.0,5.0,1.0,7.0,21.0,1.0,,,,,,,,,
2039,1,8,2,1,11,1,29.0,32.0,5.0,8.0,1.0,1.0,,,,,,,,,,,,,,
2040,4,2,2,1,3,3,2.0,14.0,6.0,6.0,21.0,30.0,3.0,8.0,12.0,1.0,,,,,,,,,,
2041,2,4,1,1,7,1,2.0,9.0,18.0,8.0,28.0,13.0,1.0,,,,,,,,,,,,,
2042,8,2,1,3,24,4,1.0,1.0,14.0,30.0,4.0,1.0,5.0,5.0,,,,,,,,,,,,
2043,2,1,3,22,7,2,3.0,12.0,3.0,1.0,23.0,11.0,1.0,2.0,4.0,1.0,,,,,,,,,,
2044,1,9,15,5,2,1,16.0,18.0,5.0,9.0,3.0,8.0,3.0,,,,,,,,,,,,,
2045,1,2,2,5,2,2,22.0,13.0,19.0,30.0,7.0,2.0,1.0,,,,,,,,,,,,,
2046,1,2,2,2,10,15,5.0,15.0,11.0,5.0,24.0,1.0,9.0,1.0,,,,,,,,,,,,
2047,1,1,1,22,4,1,4.0,1.0,18.0,12.0,2.0,12.0,,,,,,,,,,,,,,
2048,1,2,2,1,11,47,1.0,1.0,5.0,1.0,14.0,7.0,2.0,3.0,4.0,,,,,,,,,,,
2049,1,2,1,1,6,15,17.0,6.0,46.0,21.0,2.0,,,,,,,,,,,,,,,
2050,8,2,11,3,1,42,2.0,2.0,19.0,2.0,5.0,,,,,,,,,,,,,,,
2051,1,5,2,1,1,3,4.0,3.0,4.0,3.0,1.0,1.0,17.0,8.0,20.0,3.0,10.0,15.0,,,,,,,,
2052,4,56,1,23,2,2,6.0,1.0,,,,,,,,,,,,,,,,,,
2053,1,2,1,1,3,4,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,14.0,5.0,10.0,1.0,7.0,3.0,3.0,5.0,1.0,7.0,3.0
2054,1,2,2,1,1,1,7.0,2.0,2.0,1.0,2.0,2.0,6.0,5.0,1.0,5.0,12.0,4.0,2.0,4.0,14.0,5.0,,,,
2055,3,5,1,1,3,2,2.0,1.0,4.0,8.0,8.0,17.0,2.0,2.0,13.0,2.0,1.0,4.0,1.0,1.0,,,,,,
2056,6,2,1,2,3,6,2.0,20.0,5.0,17.0,7.0,7.0,10.0,3.0,1.0,1.0,,,,,,,,,,
2057,1,1,3,19,2,10,4.0,5.0,7.0,4.0,69.0,11.0,3.0,2.0,1.0,,,,,,,,,,,
2058,2,1,5,11,5,3,2.0,1.0,17.0,3.0,23.0,2.0,1.0,1.0,,,,,,,,,,,,
2059,1,2,1,3,2,4,2.0,3.0,4.0,3.0,9.0,5.0,11.0,28.0,,,,,,,,,,,,
2060,1,1,14,3,4,1,10.0,1.0,5.0,33.0,10.0,2.0,2.0,2.0,,,,,,,,,,,,
2061,1,5,2,1,1,1,3.0,3.0,2.0,5.0,21.0,18.0,7.0,2.0,4.0,7.0,1.0,,,,,,,,,
2062,1,4,2,6,7,1,19.0,2.0,18.0,23.0,4.0,7.0,,,,,,,,,,,,,,
