Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1981,4,5,6,18,1,8,13,2,2.0,1.0,8.0,2.0,3.0,3.0,2.0,6.0,3.0,7.0,1.0,5.0,2.0,4.0,,,,,
1982,13,1,2,2,3,1,1,4,3.0,1.0,7.0,6.0,1.0,2.0,1.0,10.0,1.0,5.0,1.0,3.0,6.0,7.0,,,,,
1983,1,2,1,4,1,2,17,1,1.0,4.0,2.0,22.0,3.0,8.0,1.0,2.0,2.0,,,,,,,,,,
1984,2,2,1,3,8,4,1,3,4.0,1.0,7.0,1.0,1.0,2.0,10.0,2.0,5.0,,,,,,,,,,
1985,2,2,6,33,11,6,3,5,3.0,5.0,1.0,4.0,1.0,5.0,,,,,,,,,,,,,
1986,2,2,6,3,2,5,6,9,1.0,8.0,8.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,
1987,2,6,1,3,2,29,32,9,2.0,1.0,3.0,,,,,,,,,,,,,,,,
1988,1,5,1,1,7,1,1,3,15.0,5.0,7.0,7.0,4.0,21.0,2.0,3.0,,,,,,,,,,,
1989,1,18,4,15,2,2,2,3,1.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,7.0,2.0,3.0,1.0,2.0,,
1990,6,8,10,15,6,1,22,1,20.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,
1991,2,1,3,1,1,3,2,1,24.0,10.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1992,1,7,2,3,2,1,3,1,2.0,1.0,1.0,9.0,3.0,4.0,,,,,,,,,,,,,
1993,1,1,4,5,3,1,3,12,1.0,2.0,4.0,3.0,2.0,4.0,1.0,9.0,17.0,,,,,,,,,,
1994,1,1,4,8,1,1,1,3,7.0,1.0,2.0,17.0,4.0,8.0,8.0,5.0,6.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,
1995,8,9,1,1,8,2,1,2,7.0,10.0,2.0,1.0,3.0,11.0,1.0,4.0,2.0,7.0,3.0,1.0,1.0,4.0,1.0,1.0,,,
